anomes_encendido,FLAG_TC,bucket,bucket_ord,qtd_propostas
202608,1. TC Full,2,2,1125616
202608,1. TC Full,3,3,1286645
202608,1. TC Full,4,4,1226749
202608,1. TC Full,5,5,975828
202608,1. TC Full,6,6,588767
202608,1. TC Full,7,7,285734
202608,1. TC Full,8,8,111376
202608,1. TC Full,9,9,34140
202608,1. TC Full,10+,10,14931
202608,2. Micro TC,0,0,376672
202608,2. Micro TC,1,1,157137
202608,2. Micro TC,2,2,149555
202608,2. Micro TC,3,3,170193
202608,2. Micro TC,4,4,172164
202608,2. Micro TC,5,5,116755
202608,2. Micro TC,6,6,50244
202608,2. Micro TC,7,7,21298
202608,2. Micro TC,8,8,8476
202608,2. Micro TC,9,9,3479
202608,2. Micro TC,10+,10,1412
